a,a:一|d:一道
dominate the market,v:欺行霸市
dominating terrain features,n:制高点
domination,"n:统治,操纵,支配,控制,优势,把持,主宰,天下"
dominator,n:统治者
domineer,"v:跋扈,横行霸道,惧内,作威作福,称王称霸"
domineer over,v:高耸
domineering,"a:跋扈,专横,霸道"
domineering influence,n:威风
dominica,n:多米尼加
dominie,"n:教士,老师,牧师"
dominion,"n:统治,支配,领地,主权,版图,领土,加拿大,统治权"
dominium,n:所有权
dominoes,"n:骨牌,牙牌"
dominus,n:主
don,"n:导师,顿河,专家,名家,院长,绅士|v:穿上"
dona,n:夫人
donate,"v:捐,捐献,捐赠,输,布施,捐助,送,赠送,献,赠予"
donate blood,v:献血
donate money assistance,v:赞助
donation,"n:捐赠,捐款,赠品,捐献,赠送,布施"
donative,n:捐款
donbula,n:东不拉
done,d:已经|a:熟
done for effect,v:矫揉造作
done in secret,a:冷
dong,n:董
dong nationality,n:侗族
dong opera,n:侗剧
donga,"n:山峡,峡谷"
dongbula,n:冬不拉
dongguo,n:东郭
dongting lake,n:洞庭湖
dongyang,n:东阳
donkey,"n:驴,驴子,蠢驴,傻瓜,笨蛋,毛驴,拖拉机"
donkey act,n:失策
donkey engine,"n:卷扬机,小汽车,绞车"
donor,n:施主
donor impurity,n:施主
donothing,"n:懒鬼,饭桶"
donsu,n:锦缎
don't expect,v:不图
don't go yet,v:慢走
don't mention it,v:无足挂齿
doodad,"n:便宜货,装饰品"
doodah,n:惊慌
doodie,n:粪便
doodle,v:哄骗|n:傻瓜
doodlebug,"n:飞弹,战车"
doohickey,n:窍门
doolie,n:轿子
dooly,n:轿子
doom,"n:厄运,恶运,劫数,末日|v:命定,覆灭"
doomed,v:死路|n:死路
doomed eternally,a:万劫不复
doomed petition,n:与虎谋皮
doomsday,n:末日
door,"n:门,门口,房门,门户,门径,门路,入口,通道,户,口,宅门,关口"
door case,n:门框
door frame,n:门框
door head,n:门楣
door header,n:门楣
door leaf,n:扉
door panel,n:扉
door sheet,n:门板
door sill,n:门槛
doorbell,n:门铃
doorcase,n:门框
doorframe,n:门框
door-god,n:门神
doorjamb,n:枨
doorkeeper,"n:门卫,门警,门房"
door-keeper,n:门卫
doorman,"n:门房,门卫,门子"
doormen,n:门卫
doorplate,n:门牌
doorsill,"n:门槛,阈"
doorsteps,n:除
doorway,n:门口
dope,"n:安眠药,明胶,傻子,预测,食品,麻醉品,涂料|v:解,预测,麻痹"
dope off,n:昏睡
dopey,"a:呆,笨,傻"
doping,v:掺杂
doppler,n:多普勒
dorm,n:宿舍
dormancy,"n:休眠,潜伏,休止,睡眠,蛰伏|v:休眠,蛰伏"
dormant,"v:休眠,隐,蛰伏|a:隐"
dormant buds,n:休眠芽
dormant lock,n:暗锁
dormant tree,"n:楣,梁"
dormant volcano,n:休火山
dormant window,"n:老虎窗,天窗"
dormer,n:老虎窗
dormette,n:躺椅
dormitive,"n:麻醉药,安眠药"
dormitory,"n:宿舍,寝室"
dorp,n:村庄
dorsal fin,n:背鳍
dorsum,"n:背,背部,背面"
dory,n:快艇
dos prompt,n:提示符
dosage,"n:剂量,配药,配料,剂,下药"
dosco,n:迪斯科
dose,n:剂量|v:服药
dosed shed,n:底线
dosimeter,n:量筒
dosis,n:剂量
doss,"n:床位,睡眠|v:睡"
dossal,n:垂帘
dossier,"n:卷宗,卷,档案,案卷"
dost,v:做
dot,n:点|v:打点
dot array,n:点阵
dot matrix,n:点阵
dot stroke,n:点
dot welding,n:点焊
dotage,"n:老糊涂,溺爱"
dotard,v:做|n:老糊涂
dotation,"n:天资,捐助,基金"
dote,"v:溺爱,宠爱,衰老,疼,宠,钟爱|a:昏聩"
dote on,"v:媾,溺爱,宠爱,爱好,宠幸,疼,钟爱"
dote upon,v:宠
double,"v:对折|n:诡计,替身,幽灵,双倍,变奏曲,副本,回避,折回,折叠,重叠|a:兼,复|d:加倍"
double arm,n:双臂
double cross,"n:两面三刀,违约,出卖,欺骗"
double curved surface,n:双曲面
double degree,n:双学位
double dutch,n:天书
double entendre,"n:双关语,含糊其词"
double entry,n:复试
double eye,n:双眼皮
double flow,n:双流
double gain,n:一箭双雕
double harvest rice,n:双季稻
double hit,n:连击
double image,n:重影
double insurance,n:再保险
double march,n:跑步
double objects,n:双宾语
double personality,n:双重人格
double plow,v:双铧犁
double replacement,n:互换
double salt,n:复盐
double side,n:双面
double star,n:双星
double talk,n:黑话
double track,n:双轨
double up,v:对折
double wall,n:夹壁墙
double-acting door,n:弹簧门
double-action,n:双向
double-bang firecracker,"v:二踢脚,双响"
double-bind,"n:左右为难,窘境,困境"
double-bladed plough,n:双铧犁
doublebly,d:加倍
double-cross,"v:出卖,欺骗"
double-dealer,n:两面派
double-dealing,n:奸诈
double-decker,n:双层床
double-edged sword,n:宝剑
double-explosion firecracker,n:二踢脚
double-faced tactics,n:两面三刀
double-fermented wine,n:酎
doubleness,"n:加倍,双重"
double-quick,a:快步|d:迅速
doubles,"n:副本,双打,复制品"
doublespeak,n:欺人之谈
doublet,"n:马甲,工装"
double-track,n:双轨
double-tracked,a:双轨
doubling,"v:加倍,折回,成双,迂回,重叠,重合,对折"
doubling piece,n:双边
doubly,"d:倍加,倍增"
doubly difficult,a:难上加难
doubt,"n:疑虑,疑问,疑惑,疑心,疑点|v:狐疑,疑"
doubt of,v:怀疑
doubtable,a:可疑
doubtful,"a:可疑,不明不白,疑"
doubtful case,n:疑案
doubtful point,n:疑义
doubtless,"d:多半,必定|v:无庸置疑"
doubtlessly,d:无疑
douceur,"n:贿赂,酒钱,赏钱"
douche,v:冲洗|n:冲洗
dough,"n:面团,钱,现钞"
dough modeling,n:面塑
doughboy,n:汤团
doughface,"n:面具,假面具"
doughty,a:强悍
doughty warriors,n:英雄好汉
doughy,a:软弱无力|v:软弱无力
douglas,n:道格拉斯
dour,a:沉
douse,"v:洒,放松,浸|n:浸,浇,洒"
dousing,"v:泼,泡"
dove,"n:鸽子,乳鸽,鸽"
dove tree,"n:珙桐,空桐树"
dovekie,n:海鸠
dover,n:多佛
dovetail,n:晚礼服|v:吻合
dovetail form,v:楔形
dowager,n:贵妇
dowdy,"a:寒酸,邋遢|n:寒酸气"
dowel,"n:销子,销钉"
dower,"v:赋予,陪送|n:嫁妆"
down,"d:放下,在下,下,直到,下降|n:岗,落魄,嫌恶,鸭绒,羽绒,憎恶,挫折,绒|v:打倒,击倒|p:往_下"
down at,n:邋遢
down feather,p:绒羽
down jacket,p:羽绒服
down payment,n:定金
down the ages,p:自古以来
down the wind,p:迎风
down time,p:窝工
down to,"p:以至,下至"
down to earth,"p:切切实实,实际"
down tools,p:罢工
down with,n:倒
downbeat,"n:下降,衰落"
downbend,n:洼地
downcast,"a:垂头丧气,丧气,颓靡,低落|n:灭亡,陷落,下落,没落,俯视"
downcast in spirit,a:萎靡不振
downcome,n:下降
downdraft,n:下降
downer,n:失意
downfall,"n:垮台,倒台,堕落,大雨|v:垮台,倒台,坍方"
downgrade,v:贬低|n:下坡
downhearted,"a:消沉,心灰意冷,意懒心灰|v:意懒心灰"
downhill,"d:下坡,降下|n:山坡,下坡路"
downhill journey,n:下坡路
downhold,n:限制|v:减少
downing street,"n:首相,现政府"
down-lead,n:引线
download,v:下载
download into,v:载入
down-payment,n:定金
downplay,"v:贬低,低估"
down-point,v:减少
downpour,"n:倾盆大雨,大暴雨,瓢泼,暴雨,照射"
downpunching,v:沉陷
downright,"d:透顶,干脆|a:直性子,透顶|n:直性子"
downriver,"a:下行,下水|v:下水,下行"
downside,"n:下边,缺点"
down-side,n:阴暗面
downsize,"v:裁减,裁员,减小"
downstairs,n:楼下
downstream,"v:下水,顺水,下行|a:下游,下水,下行|n:下游"
downthrow,n:陷落
down-throw,"n:低落,陷落,垮台"
downthrust,v:俯冲
downtown,"n:市中心,闹市,街市,闹市区|a:闹市区,商业区"
downtown area,"n:闹市,市区,市中心"
downtown streets,n:街市
downturn,n:衰退|v:衰退
down-turn,n:衰退
downward,a:下|n:下
downward slope,n:下坡路
downwards,"d:以后,以下,以来"
downwash,n:下冲
downwind,n:下风|a:顺风|d:下风
downwind helping wind,a:顺风
downy,"a:毛茸茸,茸茸,软绵绵,茸"
dowry,"n:陪嫁,陪送,天赋,才能,财礼,嫁妆"
dowse,v:淬火
doxie,"n:学说,见解"
doxy,"n:见解,学说,主张"
doxycycline,n:强力霉素
doyen,"n:老前辈,老资格"
doyle,n:医生
doze,"v:打瞌睡,打盹,瞌睡|n:假寐"
doze off,"v:眯盹儿,打盹儿"
dozen,"n:打,许许多多"
dozens of,n:许多
dozens of time,n:时常
dozer,n:推土机
dr,n:博士
drab,"n:乏味,单调,妓女|a:乏味,单调|v:处理"
drab colour,n:黄褐色
drabness,n:死气沉沉
draco,n:飞龙
dracula movie,n:恐怖片
draff,"n:酒糟,残羹剩饭,渣滓,糟粕"
draft,"n:草案,草稿,汇票|v:设计,挑选,征,征兵,制定,起,画,征召,汲取,征集,选派"
draft agreement,n:草约
draft animals,n:耕畜
draft beer,n:生啤酒
draft gear,n:车钩
draft horse,n:驮马
draft net,n:拉网
draft statement,n:办稿
drafted,v:草|a:草
drafting,n:制图|v:制图
draftsman,"n:绘图员,制图员"
draftsmen,n:绘图员
drag,"v:拖|n:制动器,刹车"
drag along,v:蹭
drag anchor,"n:阻力,障碍"
drag feet,n:拖拖拉拉
drag for,v:捞
drag force,n:阻力
drag in,"v:累及,牵扯,牵涉,牵绊,拉扯"
drag into,v:牵扯
drag on,"v:旷日持久,拖,迟延,拖延"
drag one's feet,v:裹足不前
drag one's heels,v:拖拖拉拉
drag out,"v:拖延,拉,挨,延长,拉长"
drag somebody's feet,v:扯后腿
drag-down,a:衰弱
dragging,v:带走
draggle,"v:拖曳,落后"
dragnet,"n:法网,拖网"
dragoman,"n:译员,翻译,向导"
dragon,n:龙
dragon boat,"n:龙船,龙舟"
dragon boat festival,n:端午节
dragon hole,n:龙洞
dragon spruce,n:云杉
dragon well tea,n:龙井
dragon-boat,n:龙舟
dragonfly,"n:蜻蜓,蚂螂"
dragon's tongue,n:水车前
dragoon,n:暴徒
dragsaw,v:拉锯
drain,"n:下水道,引流,排水沟|v:排泄,宣泄"
drain away,"v:外流,流尽"
drain contamination,v:排污
drain flooded fields,v:排涝
drain off water,v:排水
drain waterlogged farmland,v:排涝
drainage,"n:排水,引流,水系,下水道,污水,流域|v:引流"
drainage basin,n:流域
drainage ditch,n:排水沟
drainage network,n:河网
drainage system,n:水系
drainer,n:下水道
draining,v:排水
drainpipe,n:排水管
dram,"n:微量,少许,少量|a:少量"
drama,"n:戏剧,戏剧性,戏,剧本,剧,话剧,戏曲,剧作"
dramamine,n:乘晕宁
dramatic criticism,n:剧评
dramatics,"n:演出,演技,作假"
dramatis personae,n:剧中人
dramatist,"n:剧作家,戏剧家,剧作者"
dramatization,n:编剧
dramatize,v:作假
dramaturge,n:剧作家
dramaturgist,n:剧作家
drap,n:织物
drape,"v:披,覆盖,装饰|n:窗帘,帘"
draped,v:酩酊大醉
draper,n:布店
draperies,n:帷幔
drapery,"n:毛织物,衣饰,服装,织物,布匹,呢绒,绸缎,帷幕"
drastic,d:大刀阔斧|a:断然
drat,v:诅咒
draught,"n:穿堂风,过堂风,气流,草稿,挽具,吃水,通风"
draught animal,"n:耕畜,力畜"
draught animals,n:役畜
draught bar,n:拉杆
draught power,n:挽力
draught tube,n:导管
draughtiness,v:通风|n:通风
draughts,n:跳棋
draughtsman,"n:绘图员,制图员,棋子"
draughtsmen,n:绘图员
draw,"v:画,和,吸引,拉,下|n:拈阄"
draw a charge,v:出炉
draw a design,v:打样
draw a line,v:划线
draw a parallel,v:比拟
draw a percentage,v:提成
draw a portrait,"v:画像,写真"
draw a sketch,v:打样
draw alongside,v:靠岸
draw an analogy,"v:打比方,触类旁通,比,类比"
draw away,v:离开
draw away from,v:超过
draw back,"v:收缩,作罢,远离,后退,缩,退,拉开,拉起,缩回"
draw bar,n:拉杆
draw blood,v:抽血
draw bridge,n:开合桥
draw by lot,n:抽签
draw close,"v:逼近,靠拢"
draw cut,v:抽签
draw designs maps,v:画图
draw extra dividends,v:分红
draw fire,v:引火
draw for,v:抽签
draw forth,v:引出
draw forward,v:挹
draw from,v:取自
draw game,v:平局
draw gear,v:车钩
draw goal,v:打退堂鼓
draw in,"v:拉,吸入"
draw inferences,v:举一反三
draw into,"v:引进,引入"
draw large audience,v:卖座
draw large audiences,v:卖座
draw lessons from,v:借鉴
draw lot,v:求签
draw lots,"v:拈阄,抽签,抓阄"
draw money,"v:提款,领款,集资"
draw mould,v:铸模
draw near,"v:逼近,临近,傍"
draw no line,v:不分畛域
draw off,"v:脱去,退走,排出,转移"
draw on,"v:动用,利用,穿上"
draw one's attention,v:引人注目
draw oneself up,v:趾高气扬
draw out,"v:出车,起,拉,离开,提取,延长,曼延,提,抽出,拉长,抽取"
draw out poison,v:拔毒
draw over,v:笼络
draw paint everywhere,v:东涂西抹
draw pictures,v:作画
draw point,v:钢针
draw shave,n:刨刀
draw something in,v:收拢
draw sprout,v:抽芽
draw straws,v:拈阄
draw support from,v:借助于
draw the curtains,v:落幕
draw the line,v:限制
draw the temper,v:回火
draw timidly back,v:畏缩不前
draw to,"v:接近,逼近"
draw to oneself,n:吸
draw together,"v:接合,靠拢,纠集,括"
draw up,"v:起草,编制,订,开具,拟定,制,制定,编造,拟议,搞,开列"
draw upon,v:利用
draw water,"v:汲水,引水,汲"
draw well,"v:发火,深井,叫座"
drawability,n:延性
drawback,"n:缺点,障碍,弊病,弊端,失误,退款,不利,回火,退税,妨碍,缺陷|v:退税,退款"
drawbacks,n:弊端
drawbar,"n:挂钩,拉杆"
drawbench,"n:拉床,拉丝机"
drawboard,n:跳板
drawbridge,n:吊桥
drawdown,"n:下降,消耗"
drawee,n:付款人
drawer,"n:抽屉,橱柜,屉,制图员,衬裤,屉子,抽斗"
drawers,"n:内裤,衬裤,小衣"
drawgear,n:车钩
drawing,"n:画,图画,图,绘画,图样,图纸,素描,图形,牵引,拈阄,退火,引诱,制图,抽签,开发,描画|v:拉制,制图,提款,拉伸,拔"
drawing board,"n:图板,画板"
drawing of patterns,n:脱模
drawing off,"n:引出,拔取"
drawing paper,n:画纸
drawing pin,n:摁钉儿
drawing practice,n:制图
drawing room,"n:接见,花厅"
drawing sheet,n:图纸
drawing ship,n:沉船
drawing the bow,n:开弓
drawings,v:提款
drawknife,n:刮刀
drawl,v:慢条斯理
drawn game,n:平局
drawnet,n:拖网
drawnwork,v:抽纱|n:抽纱
dray,n:大车
dread,v:怕|n:担心|a:恐惧
dreadful,"a:可怕,恐怖,害怕|v:害怕"
dreadfully,"d:非常,极,特别"
dreadnaught,n:勇士
dream,"v:梦想,梦见,做梦|n:美景,梦寐"
dream about,n:梦见
dream away,v:虚度
dream daydreams,n:白日作梦
dream of,"n:梦想,梦见"
dream of springtide,n:一场春梦
dream up,"v:凭空捏造,虚构"
dreamer,n:空想家
dreamland,"n:梦境,梦乡,幻境,睡乡"
dreamworld,n:梦境
dreariment,"a:阴郁,沉闷"
dreary,"a:凄凉,惨淡,萧"
dredge,"v:疏浚,挖掘|n:拖网"
dredge a mine,v:起雷
dredge for money,n:捞钱
dredge out,v:捞
dredge up,"v:疏浚,罱,捻"
dredger,"n:挖泥船,挖掘机"
dredging box,n:戽斗
dree,v:忍耐
dreg,"n:渣滓,废物,沉淀物,糟粕,微量"
dregginess,n:沉淀物
dregs,"n:沉渣,糟粕,渣滓,脚,残渣,渣"
dregs of rice,n:粕
drench,"v:淋,浸泡,通晓,浸润"
drenched,a:湿淋淋|v:湿淋淋
drencher,"n:倾盆大雨,大雨"
dresden,n:德累斯顿
dress,"v:磨光,修整,装潢,耕作,乔装打扮|n:小衣裳,童装,衣装"
dress a corpse,v:装裹
dress circle,n:包厢
dress coat,n:燕尾服
dress down,"v:磨光,修饰,训斥"
dress down on,"v:袭击,责骂"
dress material,n:衣料
dress parade,n:阅兵式
dress seeds,n:拌种
dress suit,"n:大礼服,晚礼服"
dress up,"v:隐瞒,饰,装,乔装,打扮,乔装打扮,伪装,装扮,妆饰"
dress up as,v:扮作
dress well buttoned,n:正襟危坐
dressed lumber,n:刨花板
dresser,"n:梳妆台,化装师,镜台"
dressing,"n:衣服,包扎,敷料,打扮,肥料,修饰,填料,装束,追肥|v:上浆,整修"
dressing by screening,n:筛选
dressing case,n:镜匣
dressing gown,n:晨衣
dressing room,"n:化妆室,更衣室,后台"
dressing-down,"n:责骂,鞭打"
dressmaker,n:裁缝
drew,v:滴
drib,"n:少量,滴"
dribble,"n:滴,微雨,毛毛雨,盘球,少量,哈喇子,涓滴,运球|v:运,运球"
dribblet,"n:少量,渐渐"
driblet,"n:少量,渐渐,涓滴"
dried apricot slices,n:杏干
dried bean curd,n:豆腐干
dried cabbage,n:冬菜
dried fish,n:鲞
dried flank meat,n:朐
dried food,n:干
dried fruit,n:果脯
dried longan,n:桂圆
dried manure,n:干肥
dried meat,"n:腊,脯子"
dried meat floss,n:松
dried medicinal herbs,n:生药
dried minced meat,n:松
dried mushroom,n:冬菇
dried mushrooms,n:冬菇
dried orange peel,n:陈皮
dried razor clam,n:蛏干
dried salted duck,n:板鸭
dried scallop,n:干贝
dried shelled shrimps,n:虾米
dried small shrimps,n:虾皮
dried tangerine peel,n:橘红
dried tobacco leaves,v:叶子烟
dried up,"a:枯,眢,枯竭,焦枯,干巴"
drier,n:干燥剂
drift,"v:漂流|n:要点,动向,偏差,绞刀,流程"
drift about,"v:旋绕,落,漂荡,漂游,流徙,飘摇,流落"
drift about alone,v:飘零
drift aimlessly,v:飘泊
drift along,"v:荡荡悠悠,混事,混,得过且过"
drift along aimlessly,v:讨生活
drift apart,v:疏远
drift away,v:抛开
drift current,v:漂流
drift down,v:飘落
drift holder,n:绞手
drift ice,"n:浮冰,撕"
drift into obscurity,n:湮没无闻
drift mine,v:砂矿
drift pin,n:冲子
drift sand,n:流沙
drift slowly,v:飘悠
driftage,"n:流程,漂流"
drifter,n:流浪者
drifting,"v:不定,掘进|a:不定"
drift-net,n:流网
drifts along,n:得过且过
driftwood,n:寄生虫
drill,"v:钻探|n:耩子,教练,凿岩机,钻床,垄沟"
drill a hole,v:打孔
drill barrow,n:耧
drill bit,"n:钻头,钻"
drill block,n:钻台
drill book,n:操典
drill diligently,v:苦练
drill floor,n:钻台
drill hard,v:苦练
drill hole,n:钻孔
drill manual,n:操典
drill press,n:钻床
drill rig,n:穿孔机
drill rod,n:钎
drill steed,n:钢钎
drill steel,n:钢钎
drill to probe,v:钻探
drill tower,n:钻塔
drill worker,n:钻工
drill-bit,n:钻头
driller,"n:教练,钻床"
drilling,"n:条播,卡其,钻孔,钻井,操练,训练|v:钻探,打眼,掘进"
drilling bit,n:钻头
drilling machine,"n:钻探机,钻床"
drilling platform,n:钻台
drilling tower,n:钻塔
drillmaster,"n:教练,教官"
drimeter,n:湿度计
drink,v:喝|n:饮品
drink a toast,"v:干杯,祝酒"
drink alcoholic liquor,v:喝
drink cheerfully,v:畅饮
drink down,"v:灌醉,借酒消愁"
drink heavily,v:狂饮
drink in,"v:汲取,爱好"
drink money,"v:小账,酒钱,赏钱"
drink one's fill,"v:畅饮,痛饮"
drink tea,v:饮茶
drink wine,v:灌
drinkable water,n:饮用水
drinker,"n:酒徒,饮水器"
drinker's wager game,n:令
drinkers' wager game,n:酒令
drinkery,"n:酒吧间,酒店"
drinking,"v:饮,喝,喝酒"
drinking bowl,n:饮水器
drinking glass,n:酒杯
drinking vessel,"n:酒具,觞"
drinking water,"n:饮水,饮用水,吃水"
drinking zest,n:酒兴
drip,"v:滴|n:滴,滴水,点滴,恭维话"
drip irrigation,n:滴灌
drip sweat,v:大汗淋漓
drip-drop,"n:雨滴,水滴"
dripping,"n:水滴,滴|v:淋淋,涔涔|a:淋淋"
dripping water freezes,v:滴水成冰
dripping wet,"n:湿淋淋,淋漓"
dripping with blood,n:血淋淋
dripping with perspiration,n:汗如雨下
dripping with water,n:水淋淋
dripstone,"n:石笋,钟乳石"
drive,"v:开车,开,驾驶,驾车,驱动,驱车|n:旅程,驱使,击球,流放,劲头,动力"
drive a pile,v:打桩
drive a vehicle,v:行车
drive ashore,v:搁浅
drive at,"v:表示,打算"
drive away,"v:赶走,赶跑,祛"
drive axle,v:传动轴
drive back,v:却
drive backwards,v:捎
drive down,v:驶入
drive head,v:打头
drive in,v:掘进
drive into,"v:驶入,长驱直入"
drive near,v:逼
drive off,"v:轰,驱散,赶走,祛"
